what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1546515694802
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1546515694802
java.specification.name,sysinfo,,,"Java Platform API Specification",1546515694802
java.specification.vendor,sysinfo,,,"Oracle Corporation",1546515694802
java.specification.version,sysinfo,,,"1.8",1546515694802
java.vendor,sysinfo,,,"Oracle Corporation",1546515694802
java.version,sysinfo,,,"1.8.0_181",1546515694802
java.vm.info,sysinfo,,,"mixed mode",1546515694802
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1546515694802
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1546515694802
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1546515694802
java.vm.specification.version,sysinfo,,,"1.8",1546515694802
java.vm.vendor,sysinfo,,,"Oracle Corporation",1546515694802
java.vm.version,sysinfo,,,"25.181-b13",1546515694802
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1546515695161
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1546515695239
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1546515695271
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1546515695302
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1546515695333
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1546515695349
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1546515695489
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1546515695521
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1546515695521
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1546515695864
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1546515695880
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1546515695880
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1546515696521
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546515711947
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546515714860
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1546515716851
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1546515717085
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546515721827
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1546515732244
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.202.v20100818b,"org.eclipse.jst.server.tomcat.core",1546515732259
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546515737439
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546515743445
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546515746086
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1546515746148
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1546515746148
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.views.showView",1546515746148
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546515794193
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1546515795834
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546515876598
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1546515881948
started,bundle,org.eclipse.jst.servlet.ui,1.1.402.v201008261918,"org.eclipse.jst.servlet.ui",1546515882463
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1546515882495
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1546515882620
error,log,,,"Error starting server Tomcat v7.0 Server at localhost",1546515890441
error,log,,,"Several ports (8005, 80885, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1546515890441
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546515890520
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546515928164
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1546515928180
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1546515928305
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1546515928352
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1546515929821
started,bundle,org.eclipse.jst.jee,1.0.301.v201007151900,"org.eclipse.jst.jee",1546515930149
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546515953514
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546515999591
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546516001269
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546516001457
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546516005570
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546516010474
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546516072775
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546516125556
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1546516125572
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1546516126041
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1546516162967
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.ui",1546516173762
